Size,Bedrooms,Bathrooms,Lat,Long,Amenities_Score,BedtoBath_Ratio,Furnished,Apartment,Duplex,Penthouse,Room,Studio,TotalRooms,Level_category,accessibility_score
208,3,3,30.093319,31.63791604173324,8,1.0,0,1,0,0,0,0,6,0,0
120,3,1,30.0304045,31.5482001,7,0.3333333333333333,0,1,0,0,0,0,4,0,0
90,2,1,30.093319,31.63791604173324,7,0.5,1,1,0,0,0,0,3,0,0
115,3,3,30.063584,31.4889939,9,1.0,0,1,0,0,0,0,6,0,0
65,1,1,30.063584,31.4889939,7,1.0,1,0,0,0,0,1,2,0,0
143,3,2,30.093319,31.63791604173324,6,0.6666666666666666,0,1,0,0,0,0,5,0,0
133,3,2,30.093319,31.63791604173324,11,0.6666666666666666,1,1,0,0,0,0,5,1,1
175,3,3,30.093319,31.63791604173324,6,1.0,0,1,0,0,0,0,6,1,1
122,2,2,30.051086,31.53707949499285,10,1.0,1,1,0,0,0,0,4,0,0
110,2,1,30.093319,31.63791604173324,7,0.5,0,1,0,0,0,0,3,1,1
140,3,2,30.093319,31.63791604173324,14,0.6666666666666666,0,1,0,0,0,0,5,1,1
110,2,1,30.093319,31.63791604173324,7,0.5,0,1,0,0,0,0,3,1,1
89,2,2,30.093319,31.63791604173324,8,1.0,1,1,0,0,0,0,4,0,0
104,3,2,30.093319,31.63791604173324,9,0.6666666666666666,1,1,0,0,0,0,5,0,0
180,3,2,30.08305175,31.348806343560888,9,0.6666666666666666,1,1,0,0,0,0,5,2,2
190,3,3,30.0632671,31.4544799,5,1.0,0,1,0,0,0,0,6,0,0
256,4,3,30.093319,31.63791604173324,12,0.75,1,1,0,0,0,0,7,0,0
140,3,2,30.0632671,31.4544799,8,0.6666666666666666,0,1,0,0,0,0,5,0,0
195,3,3,30.051086,31.53707949499285,6,1.0,0,1,0,0,0,0,6,0,0
160,3,3,14.550879,121.1362882,9,1.0,0,1,0,0,0,0,6,0,0
133,2,2,29.98737805,31.5554474,8,1.0,0,1,0,0,0,0,4,0,0
133,2,2,29.9907121,31.5121515,6,1.0,1,1,0,0,0,0,4,0,0
92,2,1,30.093319,31.63791604173324,6,0.5,1,1,0,0,0,0,3,1,1
140,3,2,30.093319,31.63791604173324,7,0.6666666666666666,0,1,0,0,0,0,5,1,1
160,3,2,30.0653358,31.52110655330324,6,0.6666666666666666,1,1,0,0,0,0,5,0,0
116,3,2,30.093319,31.63791604173324,6,0.6666666666666666,0,1,0,0,0,0,5,0,0
215,3,3,30.0123303,31.51555386421819,9,1.0,1,1,0,0,0,0,6,0,0
170,2,2,30.1005985,31.3329136,7,1.0,1,1,0,0,0,0,4,2,2
140,3,2,30.0521177,31.3422045,9,0.6666666666666666,1,1,0,0,0,0,5,1,1
220,3,2,42.3040807,-74.01013495333201,4,0.6666666666666666,0,1,0,0,0,0,5,0,0
