HouseType,Price,Size,Bedrooms,Bathrooms,Level,Furnished,Area,City,ElectricityMeter,BuiltinKitchenAppliances,WaterMeter,Elevator,Balcony,NaturalGas,Landline,Security,CentralAC,CoveredParking,PetsAllowed,PrivateGarden,MaidsRoom,Pool,Lat,Long
Apartment,30000,250,3,2,5,1,Nasr City,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0,30.0521177,31.3422045
Apartment,7500,78,2,1,1,0,Madinaty,Cairo,1,0,1,1,0,0,0,1,0,1,0,0,0,0,30.093319,31.63791604173324
Apartment,8000,78,2,1,4,0,Madinaty,Cairo,1,0,1,1,1,1,0,1,0,0,0,0,0,0,30.093319,31.63791604173324
Apartment,13000,133,3,2,4,0,Madinaty,Cairo,1,0,1,1,1,1,1,1,0,0,0,0,0,0,30.093319,31.63791604173324
Apartment,45000,230,3,3,3,1,Zamalek,Cairo,1,1,1,1,0,1,1,1,0,0,0,0,0,0,30.055459550000002,31.219631655798278
Apartment,18000,104,3,2,2,1,Madinaty,Cairo,1,1,1,1,1,0,0,1,0,0,0,1,0,0,30.093319,31.63791604173324
Apartment,25000,200,2,2,6,1,Nasr City,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0,30.0521177,31.3422045
Apartment,16000,107,2,1,3,1,Madinaty,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0,30.093319,31.63791604173324
Apartment,12000,99,2,1,1,0,Rehab City,Cairo,1,0,1,1,1,0,1,1,0,1,1,0,0,0,30.063584,31.4889939
Apartment,2000,116,3,2,2,1,Madinaty,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0,30.093319,31.63791604173324
Studio,11000,60,2,1,0,1,Madinaty,Cairo,0,0,0,0,1,0,0,1,0,0,0,0,0,0,30.093319,31.63791604173324
Apartment,9000,96,2,2,1,0,Madinaty,Cairo,1,0,0,1,0,0,0,1,0,0,0,0,0,0,30.093319,31.63791604173324
Apartment,1300,140,3,2,1,1,Madinaty,Cairo,0,1,0,0,1,1,0,0,1,0,1,0,0,0,30.093319,31.63791604173324
Apartment,7000,70,2,1,4,1,New Cairo,Cairo,1,1,1,0,1,1,1,0,0,0,0,0,0,0,42.3040807,-74.01013495333201
Apartment,13500,157,3,3,3,0,Rehab City,Cairo,1,0,1,1,1,1,1,1,0,1,1,0,0,0,30.063584,31.4889939
Apartment,10000,145,3,1,2,0,Heliopolis,Cairo,0,0,0,0,1,1,0,0,0,0,0,0,0,0,30.1005985,31.3329136
Apartment,11000,185,3,2,8,0,Maadi Gardens,Cairo,1,0,1,1,0,1,0,1,0,0,0,0,0,0,29.985080449999998,31.335207704300238
Apartment,16000,96,2,2,5,1,Madinaty,Cairo,1,1,1,1,1,1,1,1,1,1,1,0,0,0,30.093319,31.63791604173324
Apartment,10000,120,3,1,1,1,Nasr City,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0,30.0521177,31.3422045
Apartment,18000,131,3,2,2,0,Rehab City,Cairo,1,0,1,1,1,1,1,1,0,0,0,0,0,0,30.063584,31.4889939
Penthouse,30000,180,3,3,3,0,Fifth Square,Cairo,1,0,1,1,1,1,0,1,1,1,1,0,0,1,30.051085999999998,31.537079494992852
Apartment,50000,148,2,2,2,1,Mivida,Cairo,0,1,1,1,1,1,0,1,1,1,0,0,0,1,30.00579785,31.537649320922906
Apartment,15000,150,2,1,7,1,Nasr City,Cairo,1,0,1,1,1,1,1,0,1,0,0,0,0,0,30.0521177,31.3422045
Apartment,18000,140,3,2,2,1,Al Manial,Cairo,0,1,0,1,1,1,1,0,0,0,1,0,0,0,30.023763950000003,31.223186029658244
Apartment,23000,200,3,3,3,0,Fifth Square,Cairo,1,1,1,0,1,1,1,1,1,1,0,0,0,0,30.051085999999998,31.537079494992852
Apartment,60000,130,2,2,0,1,Lake view Residence,Cairo,1,1,1,0,1,1,1,1,1,1,0,1,0,0,30.0244139,31.538300149025318
Apartment,75000,194,3,3,2,1,Eastown,Cairo,1,1,1,0,1,1,0,1,1,1,0,0,1,0,30.012330300000002,31.51555386421819
Apartment,25000,280,4,2,1,0,5th Settlement,Cairo,1,0,1,1,1,1,1,1,0,0,0,0,0,0,30.0632671,31.4544799
Apartment,7500,230,3,2,1,0,New Cairo,Cairo,1,0,1,0,0,0,0,1,0,0,0,1,0,0,42.3040807,-74.01013495333201
Apartment,13000,103,3,2,3,0,Madinaty,Cairo,1,0,1,1,1,1,1,0,0,0,0,0,0,0,30.093319,31.63791604173324
Apartment,25000,250,4,3,1,0,5th Settlement,Cairo,1,0,1,1,0,1,1,0,0,0,0,0,0,0,30.0632671,31.4544799
Apartment,25000,160,3,1,2,1,Nasr City,Cairo,1,1,1,1,1,1,1,1,1,1,0,0,0,0,30.0521177,31.3422045
Apartment,40000,188,3,3,2,0,New Cairo,Cairo,1,1,1,0,1,1,1,1,1,1,1,0,1,0,42.3040807,-74.01013495333201
Apartment,15000,155,3,3,3,0,Rehab City,Cairo,1,0,1,0,1,1,1,1,0,1,1,0,0,0,30.063584,31.4889939
Apartment,8000,78,2,1,5,0,Madinaty,Cairo,1,0,0,1,1,0,0,1,0,0,0,0,0,0,30.093319,31.63791604173324
Apartment,20000,82,2,1,0,1,Madinaty,Cairo,1,1,1,0,1,1,1,1,1,0,0,0,0,0,30.093319,31.63791604173324
Apartment,7000,200,3,2,2,0,5th Settlement,Cairo,1,0,1,0,1,0,1,0,0,0,0,0,0,0,30.0632671,31.4544799
Apartment,8500,160,3,3,1,1,Mostakbal City,Cairo,0,1,0,1,1,0,0,1,1,0,1,0,0,0,30.05006015,31.62472680450128
