HouseType,Price,Size,Bedrooms,Bathrooms,Level,Furnished,Area,City,ElectricityMeter,BuiltinKitchenAppliances,WaterMeter,Elevator,Balcony,NaturalGas,Landline,Security,CentralAC,CoveredParking,PetsAllowed,PrivateGarden,MaidsRoom,Pool
Apartment,23000,96,2,2,3,1,Madinaty,Cairo,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Studio,3000,30,1,1,0,1,Nasr City,Cairo,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Apartment,17000,190,3,3,0,0,Jayd,Cairo,1,1,1,0,1,0,0,1,0,0,0,1,0,0
Apartment,4500,140,3,2,2,0,15 May City,Cairo,1,1,1,0,1,1,1,0,0,1,0,0,0,0
Apartment,25000,240,3,3,6,1,Nasr City,Cairo,1,1,0,1,1,1,1,0,0,0,0,0,0,0
Apartment,15000,155,3,3,2,0,Rehab City,Cairo,1,0,1,0,1,1,1,1,0,1,1,0,1,0
Duplex,70000,270,3,3,0,1,Uptown Cairo,Cairo,1,1,1,0,1,1,1,1,1,1,1,1,1,0
Apartment,55000,120,2,2,0,1,Lake view Residence,Cairo,1,1,1,1,0,1,1,1,0,1,1,1,0,0
Apartment,12000,92,2,1,0,0,Rehab City,Cairo,1,0,1,1,1,1,1,1,0,1,1,0,0,0
Apartment,9000,96,2,2,5,0,Madinaty,Cairo,1,0,1,1,1,1,1,1,0,0,0,0,0,0
Apartment,27000,300,4,4,11,0,Nasr City,Cairo,1,0,1,1,1,1,1,1,0,0,0,0,0,0
Apartment,14000,100,2,1,5,1,Nasr City,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Apartment,30000,120,3,2,0,1,Rehab City,Cairo,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Apartment,6500,160,3,2,1,0,New Cairo,Cairo,1,0,1,0,0,0,1,1,0,0,0,0,0,0
Apartment,25000,120,2,1,1,1,Sheraton,Cairo,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Apartment,11000,125,2,1,1,1,Shorouk City,Cairo,1,1,1,0,1,0,1,1,1,0,0,0,0,0
Apartment,15000,175,3,2,1,1,El Banafseg 5,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Apartment,35000,146,2,2,2,1,The Village,Cairo,1,1,1,1,1,1,0,1,1,1,0,0,0,0
Apartment,40000,20,3,3,4,1,Zamalek,Cairo,1,1,1,1,0,1,1,1,0,0,0,0,0,0
Apartment,1200,170,4,2,4,1,Sheraton,Cairo,1,1,1,1,0,0,1,0,0,0,0,0,0,0
Apartment,4500,150,3,3,0,0,New Cairo,Cairo,1,0,1,1,0,1,0,0,0,0,0,0,0,0
Apartment,17000,162,3,3,5,0,Rehab City,Cairo,1,0,1,1,1,1,1,1,0,1,1,0,0,0
Apartment,40000,319,3,3,0,0,Uptown Cairo,Cairo,1,0,1,1,1,1,1,1,1,1,1,1,1,0
Apartment,50000,132,2,2,1,1,Villette,Cairo,1,1,1,1,1,1,1,1,0,0,1,0,0,1
Apartment,15000,89,2,2,3,1,Rehab City,Cairo,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Apartment,25000,155,3,3,3,1,Rehab City,Cairo,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Duplex,50000,270,3,3,0,0,Uptown Cairo,Cairo,1,1,1,1,1,1,1,0,1,0,0,1,1,0
Apartment,5500,120,2,1,3,1,Nasr City,Cairo,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Apartment,18000,104,3,2,2,1,Madinaty,Cairo,1,0,1,0,1,1,0,1,0,0,0,0,0,0
Apartment,32000,142,2,2,3,0,Lake view Residence,Cairo,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Apartment,2250,90,3,1,4,0,Tura,Cairo,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Apartment,5500,65,2,1,1,1,Shorouk City,Cairo,1,1,1,0,1,1,0,0,1,0,0,0,0,0
Apartment,25000,208,3,3,1,0,Fifth Square,Cairo,1,0,1,1,1,1,0,1,1,1,1,0,0,0
Apartment,18000,18,3,3,2,0,Hyde Park New Cairo,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Apartment,19000,150,2,2,2,1,Heliopolis,Cairo,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Apartment,35000,110,2,1,5,1,Nasr City,Cairo,1,1,1,1,0,1,1,0,1,0,0,0,0,0
Apartment,12000,140,3,3,5,1,Dar Misr,Cairo,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Duplex,35000,170,2,2,3,1,El Maadi,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Apartment,800,118,1,1,1,1,3rd Settlement,Cairo,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Apartment,11500,140,2,1,6,1,Heliopolis,Cairo,1,1,1,1,1,1,1,0,1,0,1,0,0,0
Apartment,18000,100,2,1,0,1,Rehab City,Cairo,1,1,1,0,1,1,1,0,1,0,1,0,0,0
Apartment,50000,125,2,2,0,1,Sky Condos Sodic,Cairo,1,1,1,0,1,0,0,0,0,1,0,1,0,0
Apartment,50000,145,2,2,3,1,New Cairo,Cairo,0,1,0,0,1,0,0,1,1,0,1,0,0,0
Apartment,45000,148,2,2,2,1,Lake view Residence,Cairo,0,1,0,0,1,1,0,1,1,1,1,0,0,0
Apartment,8000,78,2,1,5,0,Madinaty,Cairo,1,0,1,1,1,0,1,1,0,0,0,0,0,0
Duplex,45000,310,4,4,4,0,Eastown,Cairo,1,0,1,1,1,1,1,1,1,0,0,0,0,0
Apartment,7000,200,3,3,4,0,5th Settlement,Cairo,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Apartment,10000,90,2,1,2,0,Rehab City,Cairo,1,0,1,0,0,1,0,1,0,1,0,0,0,0
Apartment,20000,160,2,2,3,1,5th Settlement,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Apartment,17000,200,3,2,1,1,5th Settlement,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Apartment,15000,135,3,1,3,1,New Cairo,Cairo,1,1,1,0,1,0,0,0,1,0,0,0,0,0
Apartment,40000,144,2,2,1,1,Lake view Residence,Cairo,0,1,0,1,0,0,0,1,1,1,0,0,0,0
